250	0.9603
251	0.9608
252	0.9618
253	0.9623
254	0.9625
255	0.9628
256	0.9637
257	0.9638
258	0.9640
259	0.9649
260	0.9648
261	0.9655
262	0.9661
263	0.9671
264	0.9678
265	0.9679
266	0.9680
267	0.9685
268	0.9677
269	0.9683
270	0.9689
271	0.9694
272	0.9696
273	0.9698
274	0.9704
275	0.9716
276	0.9717
277	0.9712
278	0.9715
279	0.9709
280	0.9718
281	0.9726
282	0.9723
283	0.9728
284	0.9736
285	0.9737
286	0.9751
287	0.9749
288	0.9750
289	0.9759
290	0.9763
291	0.9764
292	0.9763
293	0.9774
294	0.9773
295	0.9772
296	0.9772
297	0.9766
298	0.9768
299	0.9770
300	0.9780
301	0.9786
302	0.9773
303	0.9785
304	0.9784
305	0.9797
306	0.9787
307	0.9801
308	0.9788
309	0.9786
310	0.9798
311	0.9805
312	0.9806
313	0.9806
314	0.9801
315	0.9802
316	0.9811
317	0.9790
318	0.9803
319	0.9807
320	0.9848
321	0.9813
322	0.9786
323	0.9817
324	0.9821
325	0.9846
326	0.9806
327	0.9811
328	0.9802
329	0.9825
330	0.9814
331	0.9811
332	0.9829
333	0.9829
334	0.9833
335	0.9827
336	0.9821
337	0.9824
338	0.9844
339	0.9841
340	0.9813
341	0.9837
342	0.9831
343	0.9825
344	0.9816
345	0.9836
346	0.9830
347	0.9813
348	0.9819
349	0.9850
350	0.9826
351	0.9843
352	0.9828
353	0.9839
354	0.9856
355	0.9834
356	0.9847
357	0.9837
358	0.9864
359	0.9839
360	0.9829
361	0.9866
362	0.9850
363	0.9859
364	0.9854
365	0.9860
366	0.9858
367	0.9850
368	0.9858
369	0.9841
370	0.9841
371	0.9867
372	0.9848
373	0.9849
374	0.9867
375	0.9864
376	0.9868
377	0.9837
378	0.9855
379	0.9858
380	0.9868
381	0.9862
382	0.9863
383	0.9860
384	0.9861
385	0.9861
386	0.9866
387	0.9861
388	0.9865
389	0.9866
390	0.9868
391	0.9868
392	0.9868
393	0.9873
394	0.9874
395	0.9871
396	0.9878
397	0.9880
398	0.9877
399	0.9877
400	0.9877
401	0.9877
402	0.9875
403	0.9878
404	0.9876
405	0.9877
406	0.9880
407	0.9882
408	0.9888
409	0.9880
410	0.9883
411	0.9886
412	0.9885
413	0.9882
414	0.9884
415	0.9883
416	0.9878
417	0.9881
418	0.9884
419	0.9884
420	0.9887
421	0.9882
422	0.9881
423	0.9883
424	0.9886
425	0.9884
426	0.9886
427	0.9883
428	0.9882
