2.500000000000000000e+02,1.364910039999999889e-04
2.550000000000000000e+02,1.826768930000000069e-04
2.600000000000000000e+02,2.408440039999999976e-04
2.650000000000000000e+02,3.134879840000000142e-04
2.700000000000000000e+02,4.031481970000000089e-04
2.750000000000000000e+02,5.121710150000001157e-04
2.800000000000000000e+02,6.429351119999999553e-04
2.850000000000000000e+02,7.980191710000000393e-04
2.900000000000000000e+02,9.805916990000000839e-04
2.950000000000000000e+02,1.193964999999999957e-03
3.000000000000000000e+02,1.441566050000000045e-03
3.050000000000000000e+02,1.726360020000000054e-03
3.100000000000000000e+02,2.051253019999999764e-03
3.150000000000000000e+02,2.419378010000000200e-03
3.200000000000000000e+02,2.834711069999999895e-03
3.250000000000000000e+02,3.301197889999999985e-03
3.300000000000000000e+02,3.822664920000000150e-03
3.350000000000000000e+02,4.402531089999999966e-03
3.400000000000000000e+02,5.043807029999999858e-03
3.450000000000000000e+02,5.749478940000000288e-03
3.500000000000000000e+02,6.522269249999999678e-03
3.550000000000000000e+02,7.363855839999999126e-03
3.600000000000000000e+02,8.275697230000000210e-03
3.650000000000000000e+02,9.260151980000000740e-03
3.700000000000000000e+02,1.032148000000000093e-02
3.750000000000000000e+02,1.146507979999999982e-02
3.800000000000000000e+02,1.269438980000000237e-02
3.850000000000000000e+02,1.400774959999999923e-02
3.900000000000000000e+02,1.539996029999999953e-02
3.950000000000000000e+02,1.686465020000000106e-02
4.000000000000000000e+02,1.839993950000000031e-02
4.050000000000000000e+02,2.000931019999999810e-02
4.100000000000000000e+02,2.169996019999999998e-02
4.150000000000000000e+02,2.347637890000000074e-02
4.200000000000000000e+02,2.534013030000000291e-02
4.250000000000000000e+02,2.728852990000000048e-02
4.300000000000000000e+02,2.931845899999999810e-02
4.350000000000000000e+02,3.142694000000000043e-02
4.400000000000000000e+02,3.361217980000000272e-02
4.450000000000000000e+02,3.586963890000000044e-02
4.500000000000000000e+02,3.819389100000000065e-02
4.550000000000000000e+02,4.057922840000000031e-02
4.600000000000000000e+02,4.302410129999999916e-02
4.650000000000000000e+02,4.552946089999999890e-02
4.700000000000000000e+02,4.809597019999999751e-02
4.750000000000000000e+02,5.072297100000000558e-02
4.800000000000000000e+02,5.340525150000000748e-02
4.850000000000000000e+02,5.613530159999999963e-02
4.900000000000000000e+02,5.890841960000000460e-02
4.950000000000000000e+02,6.172092910000000210e-02
5.000000000000000000e+02,6.456758020000000209e-02
5.050000000000000000e+02,6.744884010000000429e-02
5.100000000000000000e+02,7.036252980000000379e-02
5.150000000000000000e+02,7.330778119999999121e-02
5.200000000000000000e+02,7.628361229999999771e-02
5.250000000000000000e+02,7.928699019999999043e-02
5.300000000000000000e+02,8.231126789999999860e-02
5.350000000000000000e+02,8.535508159999999345e-02
5.400000000000000000e+02,8.841227529999999557e-02
5.450000000000000000e+02,9.147834779999999832e-02
5.500000000000000000e+02,9.454934120000001163e-02
5.550000000000000000e+02,9.762129780000000645e-02
5.600000000000000000e+02,1.069060299999999852e-01
5.650000000000000000e+02,1.037590029999999885e-01
5.700000000000000000e+02,1.068266009999999933e-01
5.750000000000000000e+02,1.098906990000000083e-01
5.800000000000000000e+02,1.129485030000000056e-01
5.850000000000000000e+02,1.159936049999999996e-01
5.900000000000000000e+02,1.190143010000000029e-01
5.950000000000000000e+02,1.220036980000000215e-01
6.000000000000000000e+02,1.249635030000000036e-01
6.050000000000000000e+02,1.278930000000000067e-01
6.100000000000000000e+02,1.307934000000000041e-01
6.150000000000000000e+02,1.336643029999999843e-01
6.200000000000000000e+02,1.364966009999999952e-01
6.250000000000000000e+02,1.392877010000000138e-01
6.300000000000000000e+02,1.420436950000000254e-01
6.350000000000000000e+02,1.447640040000000017e-01
